# PSNR SSIM RMSE PCC
25.543834 0.555639 0.052935 0.834889
25.675447 0.563899 0.052137 0.839748
25.694265 0.563448 0.052022 0.840406
25.709074 0.564623 0.051931 0.840875
25.716811 0.565544 0.051884 0.841111
25.715710 0.564548 0.051889 0.841154
25.729219 0.565348 0.051807 0.841630
25.729242 0.564033 0.051806 0.841574
25.727841 0.563472 0.051814 0.841458
25.737830 0.565395 0.051754 0.841805
25.740016 0.565812 0.051740 0.841882
25.743072 0.565796 0.051721 0.841972
25.742748 0.565675 0.051722 0.841928
25.744842 0.565225 0.051709 0.842010
25.750209 0.566287 0.051676 0.842159
25.758608 0.566456 0.051625 0.842450
25.758226 0.567544 0.051627 0.842395
25.762773 0.566921 0.051600 0.842533
25.766862 0.567259 0.051574 0.842647
25.767048 0.567648 0.051574 0.842685
25.774271 0.568161 0.051529 0.842837
25.775596 0.567432 0.051521 0.842846
25.776561 0.568207 0.051517 0.842892
25.784416 0.566741 0.051468 0.843125
25.786565 0.566750 0.051455 0.843166
25.793651 0.567499 0.051413 0.843370
25.795149 0.567750 0.051404 0.843413
25.803496 0.567699 0.051354 0.843657
25.811146 0.567697 0.051307 0.843873
25.808877 0.568956 0.051324 0.843784
25.811923 0.568240 0.051305 0.843848
25.819253 0.569835 0.051263 0.844103
25.830237 0.570101 0.051197 0.844441
25.834156 0.568847 0.051174 0.844499
25.836912 0.569490 0.051158 0.844552
25.842998 0.570043 0.051122 0.844750
25.846635 0.569745 0.051102 0.844845
25.844190 0.570521 0.051119 0.844774
25.862326 0.571142 0.051009 0.845326
25.857690 0.570961 0.051041 0.845156
25.876035 0.571315 0.050929 0.845737
25.876095 0.571118 0.050931 0.845745
25.875186 0.570736 0.050938 0.845636
25.878223 0.571006 0.050922 0.845726
25.878488 0.571787 0.050922 0.845693
25.891875 0.573028 0.050844 0.846147
25.894421 0.572610 0.050829 0.846179
25.909131 0.572769 0.050741 0.846707
25.905158 0.572933 0.050771 0.846512
25.901437 0.572293 0.050796 0.846315
25.911595 0.573192 0.050736 0.846707
25.912877 0.573316 0.050732 0.846674
25.921868 0.572826 0.050678 0.846942
25.929233 0.573232 0.050637 0.847173
25.928570 0.574724 0.050644 0.847133
25.941461 0.574111 0.050568 0.847520
25.938876 0.574038 0.050586 0.847470
25.956924 0.574853 0.050477 0.847989
25.950641 0.573801 0.050520 0.847811
25.957050 0.575064 0.050483 0.847933
25.969158 0.575101 0.050413 0.848311
25.966925 0.575653 0.050429 0.848213
25.957583 0.575202 0.050491 0.847907
25.971325 0.575394 0.050409 0.848330
25.980424 0.575906 0.050357 0.848595
25.985668 0.576628 0.050328 0.848791
25.983801 0.577488 0.050344 0.848667
25.998579 0.577392 0.050255 0.849164
25.995775 0.577555 0.050279 0.849029
25.991959 0.577502 0.050305 0.848902
26.006235 0.577936 0.050221 0.849307
26.007980 0.578123 0.050213 0.849348
26.015664 0.578505 0.050170 0.849581
26.015896 0.578877 0.050170 0.849564
26.020427 0.578355 0.050148 0.849650
26.010745 0.579087 0.050211 0.849360
26.024019 0.579004 0.050133 0.849771
26.036453 0.579316 0.050060 0.850114
26.030491 0.579881 0.050100 0.849941
26.041889 0.579114 0.050035 0.850242
26.040343 0.580061 0.050048 0.850235
26.050861 0.580323 0.049986 0.850515
26.044361 0.580925 0.050030 0.850349
26.051446 0.581080 0.049991 0.850482
26.039490 0.580604 0.050066 0.850072
26.066313 0.581064 0.049908 0.850929
26.062292 0.581246 0.049932 0.850764
26.073658 0.581729 0.049866 0.851173
26.073911 0.581685 0.049870 0.851111
26.077952 0.581924 0.049848 0.851233
26.080611 0.582242 0.049837 0.851312
26.092947 0.582236 0.049764 0.851693
26.084978 0.583057 0.049817 0.851384
26.092680 0.583534 0.049776 0.851683
26.095891 0.583887 0.049760 0.851720
26.094048 0.583353 0.049774 0.851657
26.101128 0.583250 0.049732 0.851860
26.103217 0.584193 0.049727 0.851919
26.109567 0.583943 0.049690 0.852065
26.109256 0.583481 0.049694 0.852031
