# PSNR SSIM RMSE PCC
24.368145 0.597363 0.060511 0.849111
24.344346 0.599167 0.060673 0.849270
24.230811 0.598637 0.061475 0.848234
24.542954 0.600416 0.059305 0.851013
24.547370 0.601217 0.059273 0.851150
24.618962 0.602160 0.058784 0.853503
24.668760 0.603488 0.058449 0.854521
24.723905 0.603852 0.058079 0.854683
24.779014 0.605315 0.057709 0.854697
24.888343 0.607108 0.056987 0.856855
24.983426 0.608281 0.056365 0.856897
25.074105 0.609416 0.055783 0.859923
25.143001 0.610224 0.055342 0.860859
25.149169 0.611906 0.055301 0.859642
25.254973 0.612618 0.054634 0.861972
25.290279 0.612666 0.054415 0.862906
25.300225 0.615186 0.054350 0.862363
25.417198 0.616409 0.053625 0.865424
25.449319 0.616071 0.053431 0.864985
25.559479 0.616439 0.052758 0.867464
25.520704 0.616600 0.052994 0.866717
25.601992 0.617077 0.052502 0.868702
25.567769 0.618264 0.052710 0.869949
25.707740 0.617010 0.051868 0.871034
25.778707 0.619516 0.051448 0.872941
25.833366 0.619910 0.051128 0.873746
25.835667 0.620281 0.051119 0.873734
25.887976 0.620492 0.050810 0.874952
25.914721 0.621512 0.050655 0.875805
25.906188 0.620999 0.050708 0.875352
25.943344 0.619802 0.050493 0.876184
25.909817 0.620060 0.050690 0.875850
25.968661 0.620085 0.050347 0.876989
25.996478 0.619255 0.050184 0.877674
25.991566 0.618338 0.050215 0.877490
26.000379 0.618642 0.050164 0.877541
26.009974 0.618482 0.050108 0.878227
25.985758 0.619226 0.050250 0.877577
26.027237 0.618573 0.050008 0.878379
25.986690 0.618622 0.050245 0.877544
26.006502 0.619876 0.050133 0.877970
26.041364 0.620696 0.049930 0.879192
26.029155 0.621889 0.050006 0.878994
26.047640 0.621654 0.049896 0.879088
26.060585 0.619581 0.049822 0.879282
26.103537 0.623315 0.049580 0.880418
26.107702 0.624466 0.049558 0.880625
26.094348 0.625085 0.049637 0.880298
26.097395 0.624996 0.049622 0.880300
26.104703 0.624553 0.049579 0.880511
26.109395 0.625034 0.049555 0.880667
26.122062 0.625441 0.049481 0.881018
26.128918 0.625961 0.049442 0.881210
26.106991 0.626389 0.049568 0.880855
26.113802 0.625769 0.049533 0.880727
26.109197 0.626154 0.049560 0.880704
26.126649 0.626019 0.049460 0.881082
26.129911 0.625752 0.049441 0.881152
26.124030 0.625827 0.049475 0.881044
26.136071 0.626734 0.049406 0.881387
26.144566 0.626571 0.049358 0.881588
26.125209 0.627298 0.049471 0.881150
26.133517 0.626711 0.049425 0.881297
26.145564 0.627106 0.049355 0.881696
26.149840 0.627230 0.049330 0.881724
26.161787 0.627557 0.049265 0.881964
26.164125 0.627602 0.049253 0.882057
26.168499 0.628005 0.049227 0.882228
26.163290 0.628414 0.049259 0.882063
26.157111 0.628041 0.049295 0.881869
26.167246 0.628215 0.049236 0.882178
26.168487 0.627826 0.049229 0.882158
26.161002 0.628348 0.049274 0.882053
26.167049 0.628093 0.049240 0.882109
26.179816 0.628114 0.049164 0.882462
26.168934 0.628340 0.049229 0.882233
26.170066 0.628265 0.049223 0.882225
26.169636 0.628794 0.049226 0.882294
26.182733 0.628139 0.049149 0.882594
26.171799 0.628633 0.049214 0.882283
26.172552 0.628517 0.049210 0.882375
26.180508 0.628573 0.049164 0.882507
26.181635 0.628369 0.049158 0.882506
26.180560 0.628564 0.049165 0.882517
26.185091 0.628620 0.049138 0.882587
26.186299 0.628901 0.049134 0.882640
26.184862 0.629186 0.049142 0.882645
26.184293 0.629296 0.049146 0.882622
26.186637 0.629222 0.049133 0.882654
26.186564 0.629142 0.049133 0.882610
26.186807 0.629208 0.049132 0.882646
26.181980 0.629195 0.049161 0.882523
26.185287 0.629279 0.049141 0.882599
26.189392 0.629057 0.049118 0.882745
26.190185 0.629023 0.049113 0.882727
26.189898 0.629201 0.049115 0.882754
26.190604 0.629300 0.049111 0.882732
26.189263 0.629212 0.049119 0.882728
26.191767 0.629268 0.049105 0.882791
26.189695 0.629492 0.049117 0.882757
26.189804 0.629447 0.049117 0.882755
26.183179 0.629689 0.049156 0.882613
26.192318 0.629463 0.049102 0.882789
26.197933 0.629400 0.049069 0.882930
26.189586 0.629574 0.049119 0.882738
26.191782 0.629419 0.049107 0.882763
26.188521 0.629622 0.049125 0.882720
26.196744 0.629340 0.049077 0.882877
26.192688 0.629589 0.049101 0.882807
26.195772 0.629485 0.049083 0.882918
26.191047 0.629564 0.049111 0.882761
26.195905 0.629525 0.049083 0.882874
26.194430 0.629581 0.049093 0.882877
26.191086 0.629918 0.049112 0.882838
26.195944 0.629829 0.049084 0.882890
26.195997 0.629744 0.049084 0.882901
26.195679 0.629744 0.049085 0.882875
26.192725 0.629943 0.049103 0.882818
26.202320 0.629631 0.049047 0.883062
26.196404 0.629765 0.049083 0.882889
26.202024 0.629759 0.049049 0.883053
26.198167 0.629916 0.049072 0.882969
26.198115 0.629846 0.049073 0.882949
26.200439 0.629864 0.049059 0.883039
26.194970 0.630107 0.049091 0.882932
26.199726 0.629942 0.049064 0.883028
26.202526 0.629800 0.049048 0.883041
26.198055 0.630015 0.049074 0.882943
26.200545 0.629979 0.049060 0.883031
26.201130 0.629950 0.049056 0.883049
26.204017 0.629873 0.049040 0.883096
26.207297 0.629815 0.049021 0.883149
26.202603 0.630128 0.049048 0.883072
26.201990 0.630025 0.049052 0.883056
26.203763 0.630096 0.049042 0.883081
26.200248 0.630288 0.049063 0.883045
26.202763 0.630109 0.049048 0.883065
26.208165 0.629982 0.049017 0.883190
26.207809 0.630113 0.049019 0.883172
26.202955 0.630107 0.049047 0.883084
26.208446 0.630083 0.049015 0.883218
26.205405 0.630283 0.049033 0.883169
26.200833 0.630171 0.049060 0.883041
26.207339 0.630221 0.049022 0.883167
26.203764 0.630303 0.049043 0.883208
26.203692 0.630304 0.049043 0.883122
26.208126 0.630348 0.049018 0.883235
26.207515 0.630232 0.049022 0.883189
26.206600 0.630290 0.049027 0.883151
26.210394 0.630172 0.049006 0.883227
26.205856 0.630436 0.049033 0.883152
26.212990 0.630306 0.048991 0.883306
26.211714 0.630380 0.048999 0.883295
26.210323 0.630392 0.049007 0.883247
26.212230 0.630382 0.048996 0.883292
26.207572 0.630560 0.049023 0.883193
26.206780 0.630723 0.049028 0.883196
26.205310 0.630503 0.049037 0.883121
26.212570 0.630570 0.048993 0.883349
26.206503 0.630681 0.049030 0.883181
26.212167 0.630513 0.048997 0.883315
26.213284 0.630682 0.048990 0.883384
26.214697 0.630513 0.048983 0.883395
26.213389 0.630576 0.048990 0.883356
26.210858 0.630642 0.049006 0.883274
26.211215 0.630912 0.049003 0.883309
26.209567 0.630776 0.049013 0.883265
26.213510 0.630565 0.048990 0.883315
26.213921 0.630791 0.048988 0.883375
26.216288 0.630488 0.048975 0.883410
26.211794 0.630831 0.049001 0.883337
26.213819 0.630715 0.048989 0.883370
26.216262 0.630742 0.048975 0.883418
